RecipeID;Recipe_Name;Author;Review_Count;Prepare_Time;Cook_Time;Total_Time;Ingredients;Directions;Calories;Servings;Recipe_Photo
9427;Walnut Poteca Recipe;Arlene;12;X;X;X;butter,white sugar,egg,salt,milk,yeast,flour,honey,milk,white sugar,egg,walnut;Beat butter, 2 cups sugar, and egg yolks. Dissolve yeast in 4 cups of warm milk. Add salt. Combine with flour and knead until dough is no longer sticky. Cut into 14 equal pieces. Place on floured wax paper and cover with tea towels, let rise while making nut filling.Heat oven to 350 degrees F (175 degrees C). Combine honey, 3 1/4 cups hot milk, 3 1/2 cups white sugar, egg whites and ground walnuts.Roll out one piece of dough into a large rectangle about 3/4 inch thick and spread with about 1 1/4 cups filling. Roll up jellyroll fashion and place on cookie sheet, seam side down. Brush with an egg wash (1 egg beaten with 1 tablespoon cold water). Repeat with remaining dough. You may bake 2 rolls on a sheet. Bake 35 minutes.;147.0;56;https://images.media-allrecipes.com/userphotos/250x250/55174.jpg
11971;Quick Mediterranean Pasta Recipe;Elise;59;X;X;X;spaghetti,bread,oregano,basil,olive;In a large pot with boiling salted water cook spaghetti pasta until al dente. Rinse with cool water. Drain well.In a large bowl mix the bread crumbs, oregano, basil, and cooled pasta. Pour olive oil to your likening over the mixture.Serve salad cold.;374.8;6;https://images.media-allrecipes.com/userphotos/560x315/376038.jpg
14710;Bohemian Pork Roast Recipe;JFG;33;5 m;1 h 30 m;1 h 35 m;roast,marjoram,pepper,caraway;Preheat oven to 325 degrees F (165 degrees C).Heat a roasting pan over medium high heat until hot. Rub the roast with the marjoram, salt and pepper. Brown all sides of the roast in the hot roasting pan. Sprinkle caraway seeds over all and pour in enough water to come halfway up the sides of the roast.Cover and place roast in the preheated oven. Bake for 1 1/2  hours, or until an internal temperature of 145 degrees F (63 degrees C) is reached, about 30 minutes per pound. Remove from oven and let sit for 10 minutes before carving.;197.1;4;https://images.media-allrecipes.com/userphotos/250x250/720273.jpg
21699;Texas Chicken Quesadillas Recipe;MICHELLE;247;20 m;15 m;35 m;vegetable oil,onion,honey,chicken,sauce,cheddar,monterey jack,tortillas;Preheat oven to 350 degrees F (175 degrees C).In a large, deep skillet, heat 1 tablespoon oil over medium high heat. Slowly cook and stir onion until translucent. Mix in honey. Stir until onion is golden brown, about 5 minutes. Remove from skillet and set aside.Place remaining oil and chicken in the skillet over medium high heat. Cook until chicken is no longer pink. Stir in barbeque sauce and evenly coat chicken.Layer 4 tortillas individually with chicken, onions, Cheddar cheese and Monterey Jack cheese. Top with remaining tortillas.One or two at a time, place layered tortillas on a large baking sheet. Bake uncovered in the preheated oven 20 minutes, or until cheese is melted. Do not let tortillas become too crisp. Remove from heat. Cut into quarters to serve.;326.5;8;https://images.media-allrecipes.com/userphotos/250x250/1004650.jpg
23873;Cream of Broccoli Soup V Recipe;JOUELET;73;30 m;1 h;1 h 30 m;broccoli,butter,onion,celery,flour,milk,cream,chicken,worcestershire sauce,paprika,salt,mozzarella;Place broccoli in a medium saucepan with water to cover, bring to a boil, then reduce heat and simmer until tender, 15 minutes.  Remove broccoli and reserve cooking water.In the same pan, melt butter over medium heat.  Cook onions and celery in butter until tender, 10 to 15 minutes.  Stir in flour, milk and cream.  Dissolve bouillon in 2 cups reserved broccoli water.  Stir into soup.  Season with Worcestershire, paprika and salt.  Stir in cheese and cook 10 minutes more.;442.8;4;https://images.media-allrecipes.com/userphotos/560x315/33366.jpg
8119;Easy Chocolate Banana Cake Recipe;Harriet;31;X;X;X;cake,vegetable oil,egg,sour cream,cocoa powder,chocolate,banana;Preheat oven to 350 degrees F (175 degrees C). Lightly grease and flour one 9x13 inch pan.Mix together cake mix, oil, eggs, sour cream, cocoa, chocolate chips, and banana, and beat for two minutes. Pour into prepared pan.Bake at 350 degrees F (175 degrees C) for 35 minutes. Let cool in pan and dust with powdered sugar if desired. ENJOY!;182.2;18;https://images.media-allrecipes.com/userphotos/250x250/572316.jpg
8855;Rice and Chicken Casserole Recipe;TERRY C;46;X;X;X;rice,mushroom,onion,milk,chicken;Preheat oven to 250 degrees F (120 degrees C).Combine the rice, mushroom soup, dry onion soup mix and milk. Mix together. Place rice mixture in a 9x13 inch baking dish. Place chicken pieces on top of rice mixture and bake, uncovered, in the  preheated oven for 3 hours or until rice is tender (turn chicken once).;276.3;8;https://images.media-allrecipes.com/userphotos/560x315/32957.jpg
24273;Party Cucumber Sandwiches Recipe;MARENDON;17;10 m;X;10 m;cocktail,cream cheese,cucumber,onion,mayonnaise;Place half of the cocktail rye bread on a clean work surface.  Spread each slice with cream cheese.Place 1 or 2 slices of cucumber on each, and then 1 or 2 slices of onion.Spread remaining slices with mayonnaise and place atop onions to complete the sandwiches.;194.3;5;https://images.media-allrecipes.com/userphotos/560x315/98536.jpg
20912;Pineapple Muffins Recipe;sal;11;10 m;20 m;30 m;flour,baking powder,cereal,milk,applesauce,pineapple,egg,walnut;Preheat oven to 350 degrees F (175 degrees C). Grease muffin cups or line with paper muffin liners.In a bowl, combine flour and baking powder. Stir in cereal, milk, applesauce and egg. Fold in pineapple and nuts. Scoop batter into prepared muffin cups.Bake in preheated oven for 20 minutes, until a toothpick inserted into center of a muffin comes out clean.;375.9;12;https://images.media-allrecipes.com/userphotos/560x315/775976.jpg
25121;Pudding No;TIGGER68;33;20 m;10 m;30 m;white sugar,butter,milk,butter,oat;In 3 quart microwaveable bowl, combine the sugar, butter and evaporated milk. Cook on high power for 2 to 5 minutes, stirring occasionally until the mixture comes to a rapid boil. Allow the mixture to boil undisturbed for 20 to 30 seconds. Remove from heat and stir in the instant pudding and oatmeal. Spoon onto waxed paper lined cookie sheets. Allow to sit at least 15 minutes or until firm.;183.9;24;https://images.media-allrecipes.com/userphotos/560x315/3911974.jpg
7235;Portuguese Sweet Bread II Recipe;Sandy;22;X;X;X;milk,egg,margarine,white sugar,salt,bread,yeast,lemon juice;Place ingredients in bread machine pan in the order suggested by the manufacturer. Select white bread setting. Start.To bake bread in oven: select Dough cycle. Once cycle is complete, shape dough and place in a greased loaf pan. Allow to rise in a warm spot until doubled in size. Bake in a preheated 350 degrees F (175 degrees C) oven for 35 to 45 minutes.;41.8;15;https://images.media-allrecipes.com/userphotos/560x315/4691115.jpg
12418;Pie Crust III Recipe;GAF55;177;10 m;X;10 m;flour,canola oil,water;Mix together flour, oil, and ice water.Divide dough in half.  Roll each piece between two pieces of plastic wrap.;316.0;8;https://images.media-allrecipes.com/userphotos/560x315/616314.jpg
17728;Rhubarb Custard Pie IV Recipe;Carolyn;52;X;X;X;pie,rhubarb,white sugar,flour,nutmeg,egg,milk;Preheat oven to 350 degrees F (175 degrees C).Spread rhubarb evenly across unbaked pastry shell.In a medium bowl combine sugar, flour, and nutmeg. Mix well, then add eggs and milk. Beat until smooth and pour mixture over rhubarb layer.Cover edges of pie shell with aluminum foil to prevent overbrowning. Bake in preheated oven for 50 minutes. Remove foil from crust and bake an additional 10 minutes.;129.2;8;https://images.media-allrecipes.com/userphotos/250x250/106979.jpg
14148;Orange Cream Fruit Salad Recipe;LEAGLE;367;10 m;X;2 h 10 m;vanilla,milk,orange juice,sour cream,pineapple,peach,orange,banana,apple;In a medium mixing bowl, combine pudding mix, milk, and orange juice concentrate. Beat with an electric mixer on medium speed for 2 minutes. Mix in sour cream.In a large salad bowl, combine fruits. Gently mix in orange dressing. Cover, and refrigerate for 2 hours.;379.6;10;https://images.media-allrecipes.com/userphotos/560x315/15833.jpg
14913;Sausage Rolls Recipe;Cindy Whaling;20;10 m;18 m;28 m;bake,sausage,mustard;Preheat oven to 425 degrees F (220 degrees C). Lightly grease a baking sheet.Place pie crust dough onto a flat surface. Spread them generously with mustard. Spread 1/2 pound of sausage onto each pie crust. Flatten the sausage down with a spatula. Roll the pie crust mixture up like a jelly roll. Slice the roll into 1/2-inch circular pieces.Bake for 18 minutes or until sausage is cooked.;230.0;10;https://images.media-allrecipes.com/userphotos/250x250/383176.jpg
9331;Spiced Apples Recipe;Ruth Turcotte;43;X;X;X;apple,white sugar,lemon juice,cinnamon;Peel, core, and slice apples.Place all ingredients in microwave-safe bowl. Microwave on high for 15 minutes, stirring each 5 minutes.Cover with plastic wrap and let cool or serve warm.;360.4;8;https://images.media-allrecipes.com/userphotos/560x315/781074.jpg
7018;Angel Biscuits II Recipe;Karin Christian;157;35 m;10 m;1 h 45 m;yeast,water,buttermilk,flour,baking powder,baking soda,salt,white sugar,shortening;In a small bowl, dissolve yeast in warm water. Let stand until creamy, about 5 minutes. Add buttermilk to yeast mixture, and set aside.In a large bowl, combine flour, sugar, baking powder, baking soda, and salt. Cut in shortening with a pastry blender until mixture resembles coarse meal. Stir in yeast mixture until dry ingredients are moistened. Turn dough out onto a floured surface, and knead 4 or 5 times.On a lightly floured surface, roll dough to 1/2 inch thickness. Cut out biscuits with a 2 1/2 inch round cutter. Place on lightly greased baking sheets, barely touching each other. Cover, and let rise in a warm place free from drafts for 1 hour, or until almost doubled in size. Preheat oven to 425 degrees F (220 degrees C).Bake in preheated oven for 10 to 12 minutes, or until browned.;166.8;24;https://images.media-allrecipes.com/userphotos/560x315/45561.jpg
8396;Chocolate Oil Cake Recipe;Kristi Demanette;299;X;X;X;white sugar,flour,baking soda,salt,cocoa powder,water,vegetable oil,vinegar,vanilla;Preheat oven to 350 degrees F (175 degrees C).In a large bowl, mix sugar, flour, baking soda, salt and cocoa.Add water, vegetable oil, vinegar, and vanilla. Beat by hand until smooth.Pour into a 9x13 inch pan. Bake at 350 degrees F (175 degrees C) for 40 minutes, or until toothpick inserted into center of cake comes out clean.;120.9;24;https://images.media-allrecipes.com/userphotos/250x250/252751.jpg
25458;Rib Rub Recipe;sal;6;10 m;X;10 m;salt,white sugar,pepper,sodium,black pepper,paprika,chili,onion;Place salt, white sugar, lemon pepper, monosodium glutamate (MSG), ground black pepper, paprika, chili powder and onion powder in a medium container. Seal container and shake vigorously to mix. Use as desired when grilling spareribs.;48.4;12;https://images.media-allrecipes.com/userphotos/250x250/589470.jpg
15674;Grilled Caribbean Chicken Recipe;Robyn Webb;22;X;X;X;chicken,orange juice,lime juice,mango,ginger,olive,hot pepper,oregano,garlic;In a nonporous glass dish or bowl combine the orange juice, lime juice, chutney, ginger, oil, pepper sauce, oregano and cloves. Mix all together and add chicken. Toss to coat, cover dish and place in refrigerator. Marinate overnight.Preheat grill to medium high heat or set oven to broilRemove chicken from dish (dispose of remaining marinade) and grill or broil the chicken 6 inches from the heat source.;66.1;6;https://images.media-allrecipes.com/userphotos/250x250/650095.jpg
16217;Vegan Split Pea Soup I Recipe;Deborah Sah;318;10 m;3 h;3 h 10 m;vegetable oil,onion,bay leaf,garlic,pea,barley,salt,water,carrot,celery,potato,parsley,basil,thyme,black pepper;In a large pot over medium high heat, saute the oil, onion, bay leaf and garlic for 5 minutes, or until onions are translucent. Add the peas, barley, salt and water. Bring to a boil and reduce heat to low. Simmer for 2 hours, stirring occasionally.Add the carrots, celery, potatoes, parsley, basil, thyme and ground black pepper. Simmer for another hour, or until the peas and vegetables are tender.;161.6;10;https://images.media-allrecipes.com/userphotos/560x315/5783257.jpg
10456;Arabic Cookies Recipe;Carol;20;X;X;X;butter,shortening,coconut,oat,white sugar,flour,baking powder,baking soda,salt,water;Set aside boiled water and cool until lukewarm.  Mix butter, shortening, coconut, oats, sugar, flour, baking powder, baking soda and salt with fingers until dough reaches the consistency of pie crust.  Add lukewarm water and work into dough.Make dough into one inch balls.  Flatten with a fork or fancy bottomed glass for imprint.Place on greased cookie sheets and bake at 400 degrees F (205 degrees C) for 10 minutes.;290.4;80;https://images.media-allrecipes.com/userphotos/250x250/10614.jpg
16171;Sweet Carrot Casserole Recipe;Paula;51;20 m;30 m;50 m;carrot,butter,egg,white sugar,milk,salt,cinnamon,nutmeg,vanilla;Preheat oven to 325 degrees F (165 degrees C). Grease a 1 quart casserole dish.Place carrots and enough water to cover them in a small saucepan. Bring to a boil, and cook until carrots are very tender. Drain. Using a blender or food processor, puree carrots to a smooth consistency.In a medium bowl, mix together the carrots and butter. Beat in the eggs, sugar, milk, salt, cinnamon, nutmeg,  and vanilla. Spread mixture into the prepared casserole dish.Bake for 25 to 30 minutes in the preheated oven, or until set.;456.0;6;https://images.media-allrecipes.com/userphotos/560x315/27783.jpg
19214;Chocolate Chip Krispies Recipe;MICHELINA;14;30 m;10 m;40 m;butter,brown sugar,egg,water,vanilla,flour,baking powder,salt,chocolate,cereal;Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.In a medium bowl, cream together the butter and brown sugar until smooth. Beat in the eggs, one at a time, then stir in the water and vanilla. Combine the flour, baking powder, and salt, gradually stir into the creamed mixture. Fold in the chocolate chips and crispy rice cereal. Drop by rounded spoonfuls onto the prepared cookie sheet.Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely.;90.8;36;https://images.media-allrecipes.com/userphotos/250x250/646834.jpg
18529;Shortbread Pie Crust Recipe;JUDYDOTCOM;22;15 m;15 m;2 h 30 m;butter,brown sugar,sugar,flour;Preheat oven to 325 degrees F (165 degrees C).Using your hands, mix butter, brown sugar, white sugar and flour together in a large bowl. Squeeze and work dough until it holds together. Press into three 9 inch pie pans and chill for 2 hours.Bake for 15 minutes, or until lightly brown around the edges.;413.1;24;https://images.media-allrecipes.com/userphotos/250x250/390520.jpg
13086;Cream of Tomato Recipe;Lise P.;39;5 m;25 m;30 m;tomato,milk,flour,salt,black pepper,white sugar,milk,baking soda,basil,oregano,marjoram;In a saucepan, heat the tomatoes and cut them in small pieces. (If you use the fresh ones, put the tomatoes into a boiling bath until the peel cracks. Peel them and proceed the same way)Heat the 2 cups of milk in another saucepan.Mix flour, salt, pepper, sugar and 1/4 cup milk in a small dish until smooth. Stir the flour mixture into the simmering milk until it thickens. DO NOT BOIL.Stir the baking soda into the hot tomatoes. When the fizzing slows down, add slowly to the hot milk. Simmer a few minutes, adding basil, oregano, and marjoram to taste.Note: If you want a creamy cream of tomato, you will have to put your tomatoes through a sieve or a food processor before you mix them with the milk.;346.7;4;https://images.media-allrecipes.com/userphotos/560x315/1469486.jpg
17259;Sausage Balls I Recipe;Tom;3;8 h 45 m;X;8 h 45 m;sausage,egg,1/3 cup cracker meal,sage,ketchup,vinegar,brown sugar,soy sauce;In a medium-sized mixing bowl, combine sausage, egg, crushed crackers and sage. Separate the mixture into two balls.Heat a skillet to a high heat and brown the sausage balls. Drain on paper towels. Transfer the balls to a container with a lid.Combine ketchup, vinegar, brown sugar and soy sauce in a small pot. Stir while heating the sauce. Let the sauce come to a boil, then reduce the heat to simmer. Let the sauce simmer for 20 minutes before pouring the sauce over the balls.Allow to cool, then cover the balls and sauce, and refrigerate overnight. Reheat before serving.;355.1;24;https://images.media-allrecipes.com/userphotos/560x315/1004217.jpg
10776;Easy Lemon Cookies Recipe;Lissa;1k;X;X;X;lemon,egg,vegetable oil,lemon,sugar;'Preheat oven to 375 degrees F (190 degrees C).;275.1;36;https://images.media-allrecipes.com/userphotos/560x315/5976758.jpg
21769;Rice Pudding IV Recipe;sal;14;10 m;1 h 20 m;1 h 30 m;water,rice,egg,milk,brown sugar,maple syrup,raisin;Preheat oven to 400 degrees F (200 degrees C).In a saucepan bring water to a boil. Add rice and stir. Reduce heat, cover and simmer for 20 minutes.In a medium bowl, beat eggs.  Beat in milk, brown sugar and maple syrup.  Stir in raisins and 1 cup cooked rice.  Pour into 1 quart baking dish.Bake in preheated oven 1 hour, or until set.;384.3;6;https://images.media-allrecipes.com/userphotos/250x250/462953.jpg
18092;Fresh Apple Cake II Recipe;CLAREKOE;136;20 m;50 m;1 h 10 m;apple,white sugar,flour,baking soda,cinnamon,salt,vegetable oil,egg,vanilla,walnut;Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13 inch pan. In a medium bowl, stir together the sugar and apples, set aside. Sift together the flour, baking soda, cinnamon and salt.In a large bowl, stir together the oil, eggs and vanilla. Add the apples and sugar, mix well. Stir in the dry ingredients, then the nuts. Pour into the prepared pan and spread evenly.Bake in the preheated oven for 45 minutes, or until cake springs back to the touch.;491.1;24;https://images.media-allrecipes.com/userphotos/560x315/2614294.jpg
8926;Green Olive Chicken I Recipe;Donna Chirigos;11;X;X;X;olive,onion,garlic,chicken,olive,potato,water;In a large pot pour enough olive/vegetable oil to cover bottom of pot. Add onion, garlic and chicken and saute, turning chicken pieces, until chicken is 1/2 cooked (4 to 5 minutes).Add 1/2 jar of olives along with 1/2 of the brine from the jar. Add the potatoes and enough water to cover chicken and potatoes. Cover and simmer over medium heat until chicken and potatoes are cooked and tender.;267.5;3;https://images.media-allrecipes.com/userphotos/250x250/993423.jpg
24863;Tangy Cranberry Sauce  Recipe;Lorraine Friberg;13;5 m;15 m;30 m;cranberry,water,white sugar,horseradish;Place cranberries and water in a medium saucepan. Over high heat, cook until the cranberries burst.Lower heat to simmer. Stir in sugar. Continue cooking 15 minutes.Allow mixture to cool. Stir in horseradish. Chill in the refrigerator until serving.;44.8;30;https://images.media-allrecipes.com/userphotos/560x315/2522927.jpg
7818;Lemon Filling Recipe;Carol;48;X;X;X;white sugar,flour,orange,orange juice,lemon juice,egg,cream;In a saucepan over medium heat mix the white sugar, flour, orange juice, orange zest, lemon juice and the egg. Cook until thickened. Remove from heat and let cool completely before folding in the whipped cream. Makes enough to fill one 2 layer 9 inch round layer cake.;345.5;12;https://images.media-allrecipes.com/userphotos/560x315/35379.jpg
25895;Slow Cooker Mashed Potatoes Recipe;BWAYE;1k;15 m;3 h 15 m;3 h 30 m;potato,garlic,chicken,sour cream,cream cheese,butter,pepper;In a large pot of lightly salted boiling water, cook the potatoes, garlic, and bouillon until potatoes are tender but firm, about 15 minutes. Drain, reserving water. In a bowl, mash potatoes with sour cream and cream cheese, adding reserved water as needed to attain desired consistency.Transfer the potato mixture to a slow cooker, cover,  and cook on Low for 2 to 3 hours. Just before serving, stir in butter and season with salt and pepper to taste.;470.4;8;https://images.media-allrecipes.com/userphotos/560x315/43073.jpg
18818;Easy American Potato and Tuna Casserole Recipe;AUDS;28;40 m;45 m;1 h 35 m;potato,milk,mozzarella,parmesan,egg,tuna,green onion;Preheat oven to 400 degrees F (200 degrees C).In a large pot over high heat, place the potatoes with water to cover and bring to a boil. Let boil for about 20 minutes, or until potatoes are tender. Drain and transfer potatoes to a large bowl. Add the milk, mozzarella cheese and 2 tablespoons of the Parmesan cheese.Using an electric mixer, beat the potatoes until almost smooth. Then beat in the eggs, drain the tuna and stir the tuna into the potato mixture. Then stir in the green onion, and season with salt and pepper to taste.Transfer mixture to a lightly-greased 10-inch diameter glass pie dish and top with the remaining Parmesan cheese.Bake at 400 degrees F (200 degrees C) for 45 minutes, or until golden brown.;991.4;6;https://images.media-allrecipes.com/userphotos/250x250/67302.jpg
24695;Berthas Blueberry Dumplings Recipe;Joanne Choquette;16;15 m;20 m;45 m;flour,baking powder,salt,lard,milk,water,white sugar,blueberry;In a medium bowl, mix flour, baking powder and salt.  Rub in lard with fingers.  Stir in milk to make a soft dough.In a deep skillet, boil water. Reduce heat to a simmer and stir in sugar until dissolved.  Stir in blueberries.  Drop dough by rounded spoonfuls into simmering blueberry syrup.  Cover and simmer 10 minutes.  Serve.;288.3;8;https://images.media-allrecipes.com/userphotos/560x315/40022.jpg
25620;Sour Cream Coffee Cake IV Recipe;RAINVILLE;25;20 m;45 m;1 h 5 m;shortening,white sugar,egg,sour cream,flour,baking powder,baking soda,salt,white sugar,cinnamon;Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9 inch round pan. Sift together the flour, baking powder, baking soda and salt. Set aside.In a large bowl, cream together the shortening and 1 cup sugar until light and fluffy. Beat in the eggs one at a time. Beat in the flour mixture alternately with the sour cream, mixing just until incorporated. Pour half of the batter into prepared pan. Mix together 1/4 cup sugar and 1 teaspoon cinnamon. Sprinkle half of mixture over batter in the pan. Cover with remaining batter, then top with remaining cinnamon sugar.Bake in the preheated oven for 35 to 45 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool.;428.3;8;https://images.media-allrecipes.com/userphotos/250x250/928468.jpg
9360;Pecan Tassies Recipe;Carla;142;25 m;15 m;40 m;margarine,cream cheese,flour,egg,brown sugar,butter,vanilla,salt,pecan;Preheat the oven to 350 degrees F (175 degrees C).In a medium bowl, mix together the margarine and cream cheese until well blended. Beat in flour, 1 cup at a time, until the mixture forms a smooth dough. Roll into small balls, and press into the bottoms and sides of tart pans or mini muffin pans.In another bowl, mix together the eggs, brown sugar, butter, vanilla, and salt. Stir in the pecans. Use a spoon to fill each of the crusts 2/3 full with the filling mixture.Bake for 15 to 18 minutes in the preheated oven, until shell is light brown, and the filling has puffed up. Cool, and carefully remove from pans.;348.8;60;https://images.media-allrecipes.com/userphotos/560x315/1937016.jpg
7643;German Christmas Gingerbread Recipe;Carol;31;X;X;X;butter,brown sugar,egg,honey,liqueur,sour cream,orange juice,flour,whole wheat,baking powder,ginger,cinnamon,nutmeg,clove,raisin,almond;Whisk together the flours, baking powder, and spices.In a large bowl, cream the butter or margarine with the brown sugar.  Beat in the eggs, then the honey, orange liqueur, sour cream, and orange juice.  Beat the flour mixture into the creamed mixture, and then stir in the raisins and almonds.  Turn batter into a greased and floured tube pan.Bake cake at 350 degrees F (175 degrees C) for 80 minutes, or until it tests done with toothpick.  Transfer to a rack to cool.;517.7;14;https://images.media-allrecipes.com/userphotos/250x250/162695.jpg
16323;Stuffed Cabbage Recipe;Christa;123;30 m;1 h;1 h 30 m;cabbage,water,ground beef,rice,garlic,egg,tomato,vinegar,white sugar,water;Place the head of cabbage in a large pot over high heat and add water to cover. Boil cabbage for 15 minutes, or until it is pliable and soft. Drain and allow to cool completely. Remove the hard outer vein from the leaves.In a separate large bowl, combine the beef, rice, garlic powder and the egg, mixing well. Place a small amount, about the size of your palm, into the center of a cabbage leaf and fold leaf over, tucking in the sides of the leaf to keep meat mixture inside.Pile up the filled leaves in a large pot, putting the larger leaves on the bottom. Add the tomato juice, vinegar and sugar and enough water to cover. Simmer over medium low heat for about 60 minutes. (Note: Keep an eye on them, making sure the bottom of leaves do not burn.);137.0;6;https://images.media-allrecipes.com/userphotos/560x315/4510688.jpg
